iter	MultiClass	F1:class=0	F1:class=1	F1:class=2
0	1.012800005	0.6732283465	0.698089172	0.811	0.9381	1	0.9452577936	0.6811023622	0.7058823529	0.812	0.8802	2	0.8844927367	0.6887159533	0.7131367292	0.83	0.3	0.3	3	0.8340616075	0.6851485149	0.7318932656	0.4	0.74	0.4	4	0.792845607	0.696	0.75	0.8369462771
5	0.7560031848	0.6877470356	0.7397959184	0.8323917137
6	0.7240226223	0.688976378	0.7442455243	0.8342749529
7	0.6957654545	0.6878727634	0.7538860104	0.8396446938
8	0.6716336483	0.6903353057	0.7565445026	0.841810546
9	0.6497375095	0.6953125	0.764940239	0.8469055375
10	0.631050454	0.6903353057	0.7626666667	0.8465461289
11	0.6124901171	0.6903353057	0.7624161074	0.8473635523
12	0.5967468011	0.6941176471	0.7727272727	0.8497217069
13	0.5812049334	0.6941176471	0.7747989276	0.8507877665
14	0.5676914208	0.693957115	0.7774798928	0.8510440835
15	0.5558872502	0.6964980545	0.7762803235	0.8517145505
16	0.5452618412	0.693957115	0.7859078591	0.8552935737
17	0.5352126727	0.6990291262	0.7896174863	0.8583294878
18	0.5265487555	0.7029126214	0.7929155313	0.8600461894
19	0.5186675328	0.6966731898	0.7945205479	0.8605614358
20	0.5111637484	0.7029126214	0.8021828104	0.8633425669
21	0.5051190868	0.7067961165	0.8066298343	0.8671264368
22	0.4984311069	0.7153846154	0.8066298343	0.868202765
23	0.4914062357	0.7115384615	0.8088033012	0.8675588371
24	0.4844667136	0.7189292543	0.8137931034	0.8707294552
25	0.4795341648	0.7227533461	0.8149171271	0.8721735118
26	0.4743515041	0.7279693487	0.812849162	0.8740808824
27	0.4685913873	0.7244701349	0.8162692847	0.8753437214
