iter	MultiClass	F1:class=0	F1:class=1	F1:class=2
0	1.009201836	0.7031019202	0.6666666667	0.8300795372
1	0.9387240209	0.7098765432	0.728	0.8282442748
2	0.8798794375	0.7091757387	0.7408163265	0.836294896
3	0.8305045131	0.7058823529	0.7474332649	0.8376132931
4	0.7879182767	0.7214611872	0.7393075356	0.8360593382
5	0.7530731516	0.7142857143	0.7415036045	0.8366805608
6	0.7198103643	0.7175572519	0.7424400417	0.8387339864
7	0.6927019457	0.726172466	0.7445255474	0.8413897281
8	0.6690203051	0.7228177642	0.7518479409	0.8455772114
9	0.646643913	0.7166921899	0.7622080679	0.8484848485
10	0.6274360292	0.7145038168	0.7638297872	0.8484848485
11	0.6092046507	0.7136294028	0.7637540453	0.849702381
12	0.5950059971	0.7138461538	0.7619047619	0.8500371195
13	0.5813753652	0.7155963303	0.7554585153	0.8487768718
14	0.5680583178	0.7192716237	0.7604395604	0.8514264542
15	0.5571972633	0.7175572519	0.7678767877	0.8542899408
16	0.5461553915	0.717791411	0.7710843373	0.8553459119
17	0.5366038186	0.726443769	0.7719298246	0.85693106
18	0.5282367395	0.7236641221	0.770419426	0.8570373107
19	0.5211981333	0.7286585366	0.7741935484	0.8603022484
20	0.5131958923	0.7278287462	0.7751937984	0.8601991885
21	0.5065904812	0.7294832827	0.7750556793	0.860619469
22	0.4991480819	0.7382753404	0.7786429366	0.8633677991
23	0.4922572872	0.7432024169	0.7822222222	0.8654841094
24	0.4863748023	0.746223565	0.7861142217	0.8684113527
25	0.481448287	0.7435508346	0.7816349384	0.8667157585
26	0.4760328327	0.7432024169	0.7852348993	0.8672566372
27	0.471448017	0.7446808511	0.7825112108	0.8675496689
28	0.466999887	0.754491018	0.7792792793	0.8679941003
29	0.4615536862	0.7563527653	0.7914798206	0.871813816
30	0.4576564742	0.7627627628	0.7945823928	0.8755522828
31	0.4538685192	0.7646176912	0.7941176471	0.8759661391
32	0.44988373	0.7616191904	0.7918552036	0.8744939271
33	0.4461768882	0.7634730539	0.7968217934	0.8767929386
34	0.4434894537	0.7597597598	0.799091941	0.8768834987
35	0.4410761625	0.7627627628	0.799086758	0.8782098313
36	0.4372963588	0.7719821162	0.8004561003	0.8801470588
37	0.4347767566	0.7719821162	0.8027210884	0.8802946593
38	0.4322449989	0.7701492537	0.8004535147	0.8792341679
39	0.4288610371	0.7708333333	0.8018223235	0.8800588668
40	0.4267100769	0.7774480712	0.8027366021	0.8818549871
41	0.4244727981	0.7762962963	0.8004561003	0.8807069219
42	0.4207759382	0.7817109145	0.8009153318	0.882179676
43	0.4181387275	0.7805596465	0.8054919908	0.8832412523
44	0.4153528759	0.7805596465	0.8068571429	0.8835666912
45	0.4120491979	0.7817109145	0.8082191781	0.8843036109
46	0.4088033517	0.7817109145	0.8050171038	0.8831551788
47	0.4071698747	0.7817109145	0.8091428571	0.8847145488
48	0.4030755712	0.7876106195	0.8096330275	0.8866813834
49	0.399362952	0.788774003	0.8091428571	0.8865979381
50	0.3968090283	0.7876106195	0.8137142857	0.8876611418
51	0.3945612814	0.788774003	0.8141391106	0.8879882093
52	0.3918843149	0.788774003	0.818700114	0.8894620486
53	0.3903790861	0.7893961708	0.8196347032	0.8897899005
54	0.3881258191	0.7876106195	0.8178694158	0.8892160471
55	0.3861254734	0.7870778267	0.8201603666	0.8894620486
56	0.3841474367	0.7893961708	0.8251428571	0.8916728077
57	0.3823772741	0.7893961708	0.8246013667	0.8911840649
58	0.3799731354	0.7882352941	0.8264840183	0.8915929204
59	0.377914014	0.7911764706	0.8264840183	0.8923303835
60	0.3758797757	0.7935578331	0.8268792711	0.8925009235
61	0.3741666442	0.7958883994	0.8287671233	0.8941350055
62	0.3715931286	0.7958883994	0.8293241695	0.8946204864
63	0.3697336442	0.7976539589	0.8297142857	0.8948727407
64	0.367263608	0.802919708	0.8329519451	0.8970099668
65	0.3655409236	0.8011695906	0.8367816092	0.8983050847
66	0.3640318909	0.802919708	0.8377445339	0.8990420044
67	0.3624088534	0.8034934498	0.8377445339	0.8989675516
68	0.3607630493	0.804664723	0.8377445339	0.8993733874
69	0.3593396202	0.8064046579	0.8377445339	0.8997050147
70	0.3579066097	0.8040935673	0.8367816092	0.8990420044
71	0.3558817527	0.8070175439	0.8400460299	0.9009208103
72	0.3543762951	0.8070175439	0.8396770473	0.9009937431
73	0.3535085891	0.8122270742	0.8396770473	0.9019896831
74	0.3516656363	0.8104956268	0.8383371824	0.9013254786
75	0.3500437714	0.8128654971	0.8383371824	0.902133922
76	0.3486381323	0.8134110787	0.8402777778	0.9028697572
77	0.3477279534	0.8128654971	0.8412514484	0.9033443587
78	0.3457308397	0.8163265306	0.8412514484	0.9040088268
79	0.3445328746	0.8134110787	0.8402777778	0.9028697572
80	0.3426241674	0.8168604651	0.8428405122	0.9048144065
81	0.3419713429	0.8168604651	0.8418604651	0.9044117647
82	0.3407814147	0.8134110787	0.8418604651	0.9037472447
83	0.3395540761	0.8197674419	0.8441860465	0.9058823529
84	0.3387089938	0.8185776488	0.8441860465	0.9054799559
85	0.3374395826	0.8185776488	0.8441860465	0.9054799559
86	0.33631927	0.8219971056	0.8471411902	0.9073529412
87	0.3353109601	0.8208092486	0.8471411902	0.906951085
88	0.3337591684	0.8242074928	0.8481308411	0.9080206034
89	0.3323614233	0.8282828283	0.8494749125	0.9094922737
90	0.3309234076	0.8265895954	0.8494749125	0.9091577786
91	0.3298549777	0.8265895954	0.8551401869	0.9110294118
92	0.3280687127	0.8219971056	0.8531468531	0.9091577786
93	0.3265709488	0.8253968254	0.8564760793	0.9109639441
94	0.3250761595	0.8265895954	0.8554778555	0.9109639441
95	0.3226342384	0.8299711816	0.8584795322	0.9128356013
96	0.321915774	0.8311688312	0.8598130841	0.9135711659
97	0.3212339192	0.8277858177	0.8584795322	0.912564291
98	0.319714018	0.8328530259	0.8598130841	0.9139072848
99	0.319001188	0.8340548341	0.8598130841	0.9143067304
100	0.3170770075	0.8340548341	0.8641686183	0.9158397648
101	0.3158928568	0.8340548341	0.8628370457	0.9155033064
102	0.3151258846	0.8323699422	0.8615023474	0.9148311307
103	0.314315896	0.8357348703	0.8628370457	0.9158397648
104	0.3128609483	0.8345323741	0.8665105386	0.9165134241
105	0.3119820306	0.8357348703	0.8675263775	0.9173098126
106	0.3103787566	0.8374100719	0.8672150411	0.917707568
107	0.3097011062	0.8390804598	0.8672150411	0.9180448365
108	0.3086681706	0.8390804598	0.8672150411	0.9180448365
109	0.3076953548	0.8390804598	0.8672150411	0.9180448365
110	0.3064205953	0.8386167147	0.8665105386	0.9176470588
111	0.3052840371	0.8402877698	0.8672150411	0.9184423218
112	0.3046395642	0.8402877698	0.8655660377	0.9181651376
113	0.3037817829	0.841954023	0.8658823529	0.9184423218
114	0.3032144191	0.8452722063	0.8658823529	0.9191176471
115	0.3023079869	0.843615495	0.8682352941	0.9195148842
116	0.3017627033	0.8469241774	0.8682352941	0.9201912468
117	0.3010803051	0.8469241774	0.8661971831	0.9193963931
118	0.2996799287	0.8469241774	0.8675263775	0.9197349043
