iter	F1:class=0_TP	F1:class=0_TP+FP	F1:class=0_TP+FN	F1:class=1_TP	F1:class=1_TP+FP	F1:class=1_TP+FN	F1:class=2_TP	F1:class=2_TP+FP	F1:class=2_TP+FN
0	157.412663	188.0800227	204.4555278	150.6984093	189.9618466	173.1428533	124.4824533	188.7479056	189.1913939
1	162.8406858	198.4434732	204.4555278	150.6984093	192.15537	173.1428533	117.3535023	176.1909317	189.1913939
2	162.8406858	197.3467115	204.4555278	150.6984093	192.15537	173.1428533	118.450264	177.2876934	189.1913939
3	162.8406858	196.7983307	204.4555278	150.6984093	192.15537	173.1428533	118.9986448	177.8360742	189.1913939
4	166.4593678	202.0621551	204.4555278	150.6984093	192.15537	173.1428533	117.3535023	172.5722498	189.1913939
5	168.2687087	204.9682578	204.4555278	150.6984093	192.15537	173.1428533	116.2567406	169.6661471	189.1913939
6	168.2687087	204.4198769	204.4555278	150.6984093	192.15537	173.1428533	116.8051214	170.214528	189.1913939
7	168.2687087	204.4198769	204.4555278	150.6984093	192.15537	173.1428533	116.8051214	170.214528	189.1913939
8	168.2687087	201.1295918	204.4555278	150.6984093	192.15537	173.1428533	120.0954065	173.5048131	189.1913939
9	166.4593678	199.8686317	204.4555278	150.6984093	192.15537	173.1428533	119.5470257	174.7657732	189.1913939
10	164.6500268	197.5109099	204.4555278	150.6984093	192.15537	173.1428533	120.0954065	177.123495	189.1913939
11	164.6500268	199.1560525	204.4555278	150.6984093	192.15537	173.1428533	118.450264	175.4783524	189.1913939
12	166.4593678	202.0621551	204.4555278	150.6984093	192.15537	173.1428533	117.3535023	172.5722498	189.1913939
13	168.2687087	205.5166386	204.4555278	150.6984093	192.15537	173.1428533	115.7083597	169.1177663	189.1913939
14	168.2687087	205.5166386	204.4555278	150.6984093	192.15537	173.1428533	115.7083597	169.1177663	189.1913939
15	166.4593678	203.7072977	204.4555278	150.6984093	192.15537	173.1428533	115.7083597	170.9271072	189.1913939
16	170.0780497	207.3259796	204.4555278	150.6984093	192.15537	173.1428533	115.7083597	167.3084253	189.1913939
17	168.2687087	205.5166386	204.4555278	150.6984093	192.15537	173.1428533	115.7083597	169.1177663	189.1913939
18	168.2687087	204.9682578	204.4555278	150.6984093	192.15537	173.1428533	116.2567406	169.6661471	189.1913939
19	168.2687087	204.4198769	204.4555278	150.6984093	192.15537	173.1428533	116.8051214	170.214528	189.1913939
20	164.6500268	201.3495759	204.4555278	150.6984093	192.15537	173.1428533	116.2567406	173.284829	189.1913939
21	166.4593678	201.5137743	204.4555278	150.6984093	192.15537	173.1428533	117.9018831	173.1206306	189.1913939
22	166.4593678	200.9653934	204.4555278	150.6984093	192.15537	173.1428533	118.450264	173.6690115	189.1913939
23	168.2687087	201.6779727	204.4555278	150.6984093	192.15537	173.1428533	119.5470257	172.9564322	189.1913939
24	166.4593678	200.4170126	204.4555278	150.6984093	192.15537	173.1428533	118.9986448	174.2173923	189.1913939
25	164.6500268	199.7044333	204.4555278	150.6984093	192.15537	173.1428533	117.9018831	174.9299716	189.1913939
26	164.6500268	200.2528142	204.4555278	150.6984093	192.15537	173.1428533	117.3535023	174.3815907	189.1913939
27	166.4593678	202.0621551	204.4555278	150.6984093	192.15537	173.1428533	117.3535023	172.5722498	189.1913939
28	168.2687087	203.3231152	204.4555278	150.6984093	192.15537	173.1428533	117.9018831	171.3112897	189.1913939
29	166.4593678	200.9653934	204.4555278	150.6984093	191.6069891	173.1428533	118.9986448	174.2173923	189.1913939
30	170.0780497	204.5840753	204.4555278	150.6984093	191.6069891	173.1428533	118.9986448	170.5987104	189.1913939
31	170.0780497	204.0356945	204.4555278	150.6984093	191.6069891	173.1428533	119.5470257	171.1470913	189.1913939
32	168.2687087	201.1295918	204.4555278	150.6984093	191.6069891	173.1428533	120.6437874	174.0531939	189.1913939
33	164.6500268	197.5109099	204.4555278	150.6984093	192.15537	173.1428533	120.0954065	177.123495	189.1913939
34	164.6500268	196.4141482	204.4555278	150.6984093	191.6069891	173.1428533	121.7405491	178.7686375	189.1913939
35	164.6500268	196.9625291	204.4555278	150.6984093	191.6069891	173.1428533	121.1921682	178.2202567	189.1913939
36	166.4593678	197.6751083	204.4555278	150.6984093	191.6069891	173.1428533	122.2889299	177.5076774	189.1913939
37	166.4593678	197.6751083	204.4555278	150.6984093	191.6069891	173.1428533	122.2889299	177.5076774	189.1913939
38	166.4593678	197.6751083	204.4555278	150.6984093	191.6069891	173.1428533	122.2889299	177.5076774	189.1913939
39	166.4593678	198.2234892	204.4555278	150.6984093	191.6069891	173.1428533	121.7405491	176.9592966	189.1913939
40	166.4593678	196.5783466	204.4555278	150.6984093	189.7976482	173.1428533	123.3856916	180.4137801	189.1913939
41	164.6500268	194.7690057	204.4555278	150.6984093	189.7976482	173.1428533	123.3856916	182.223121	189.1913939
42	164.6500268	194.7690057	204.4555278	150.6984093	189.7976482	173.1428533	123.3856916	182.223121	189.1913939
43	164.6500268	194.2206248	204.4555278	149.0952348	190.0038146	173.1428533	123.9340725	182.5653355	189.1913939
44	164.6500268	194.2206248	204.4555278	149.0952348	190.0038146	173.1428533	123.9340725	182.5653355	189.1913939
45	164.6500268	194.7690057	204.4555278	149.0952348	190.0038146	173.1428533	123.3856916	182.0169547	189.1913939
46	164.6500268	194.2206248	204.4555278	149.0952348	190.0038146	173.1428533	123.9340725	182.5653355	189.1913939
47	164.6500268	194.2206248	204.4555278	149.0952348	190.0038146	173.1428533	123.9340725	182.5653355	189.1913939
48	164.6500268	194.2206248	204.4555278	149.0952348	188.1944736	173.1428533	123.9340725	184.3746765	189.1913939
49	164.6500268	194.2206248	204.4555278	149.0952348	190.0038146	173.1428533	123.9340725	182.5653355	189.1913939
50	164.6500268	194.2206248	204.4555278	149.0952348	190.0038146	173.1428533	123.9340725	182.5653355	189.1913939
51	164.6500268	194.2206248	204.4555278	149.0952348	188.1944736	173.1428533	123.9340725	184.3746765	189.1913939
52	164.6500268	194.2206248	204.4555278	149.0952348	187.6460928	173.1428533	124.4824533	184.9230573	189.1913939
53	164.6500268	194.2206248	204.4555278	149.0952348	187.6460928	173.1428533	124.4824533	184.9230573	189.1913939
54	164.6500268	192.5754822	204.4555278	149.0952348	187.6460928	173.1428533	126.1275959	186.5681999	189.1913939
55	164.6500268	192.0271014	204.4555278	149.0952348	187.6460928	173.1428533	126.6759768	187.1165807	189.1913939
56	164.6500268	192.0271014	204.4555278	149.0952348	189.4554337	173.1428533	126.6759768	185.3072398	189.1913939
57	164.6500268	192.0271014	204.4555278	149.0952348	187.6460928	173.1428533	126.6759768	187.1165807	189.1913939
