iter	Passed	Remaining
0	18	18081
1	34	17455
2	51	17249
3	65	16427
4	79	15887
5	93	15489
6	107	15218
7	121	15053
8	138	15242
9	153	15234
10	168	15140
11	183	15067
12	196	14949
13	211	14865
14	226	14879
15	242	14890
16	260	15055
17	279	15274
18	298	15424
19	315	15453
20	331	15475
21	348	15492
22	364	15488
23	380	15481
24	397	15485
25	412	15465
26	427	15401
27	443	15408
28	458	15367
29	474	15332
30	488	15278
31	503	15224
32	517	15162
33	532	15133
34	547	15105
35	562	15075
36	578	15068
37	595	15078
38	609	15009
39	622	14947
40	636	14898
41	651	14859
42	665	14805
43	679	14754
44	692	14699
45	706	14651
46	720	14613
47	734	14566
48	749	14549
49	767	14575
50	782	14552
51	797	14540
52	812	14513
53	827	14490
54	841	14464
55	856	14440
56	871	14412
57	884	14370
58	898	14328
59	911	14286
60	925	14247
61	939	14217
62	953	14179
63	966	14141
64	980	14107
65	995	14086
66	1010	14068
67	1025	14049
68	1039	14030
69	1054	14009
70	1069	13992
71	1083	13968
72	1098	13949
73	1113	13930
74	1128	13913
75	1142	13895
76	1157	13875
77	1172	13859
78	1187	13845
79	1203	13843
80	1221	13853
81	1234	13819
82	1248	13795
83	1264	13789
84	1280	13780
85	1296	13782
86	1312	13778
87	1328	13770
88	1344	13762
89	1360	13754
90	1378	13772
91	1396	13786
92	1413	13782
93	1431	13792
94	1448	13800
95	1462	13773
96	1475	13740
97	1489	13709
98	1503	13679
99	1518	13670
100	1535	13663
101	1550	13654
102	1566	13641
103	1581	13627
104	1597	13614
105	1612	13600
106	1627	13582
107	1642	13566
108	1659	13563
109	1674	13546
110	1689	13527
111	1702	13501
112	1716	13475
113	1730	13450
114	1744	13423
115	1757	13396
116	1771	13370
117	1785	13348
118	1799	13323
119	1813	13298
120	1826	13269
121	1839	13241
122	1853	13216
123	1867	13192
124	1880	13165
125	1894	13138
126	1907	13111
127	1921	13087
128	1935	13065
129	1948	13041
130	1962	13016
131	1975	12990
132	1989	12967
133	2003	12947
134	2018	12933
135	2033	12916
136	2047	12897
